"id","idx","Y","M","O","seed"
"4109101",2309,0.36,0.48,2.16,3
"2906707",1693,0.24,0.32,1.44,2
"1808703",1076,0.36,0.48,2.16,3
"2305005",1299,0.24,0.32,1.44,2
"5029702",2825,0.48,0.64,2.88,4
"3304411",1929,0.12,0.16,0.72,1
"0704002",314,0.12,0.16,0.72,1
"3803802",2141,0.12,0.16,0.72,1
"3907502",2193,0.12,0.16,0.72,1
"4718601",2678,2.4,3.2,14.4,20
"4516801_AD",2493,6,8,36,50
"1303402",794,4.8,6.4,28.8,40
"0200302",19,0.6,0.8,3.6,5
"1607804",961,1.56,2.08,9.36,13
"0801902",360,1.44,1.92,8.64,12
"1707903",1009,0.48,0.64,2.88,4
"2512006",1417,0.12,0.16,0.72,1
"4314807",2399,0.48,0.64,2.88,4
"4625001",2628,0.96,1.28,5.76,8
"1003704",630,0.48,0.64,2.88,4
"1507805",947,0.24,0.32,1.44,2
"2807901",1573,6,8,36,50
"3003002",1767,0.12,0.16,0.72,1
"3120101",1821,0.48,0.64,2.88,4
"0105901",10,0.36,0.48,2.16,3
"2608903",1455,0.48,0.64,2.88,4
"5100101",2838,0.012,0.016,0.072,0.1
"5200102",2845,0.012,0.016,0.072,0.1
