id,area,Y,M,O,Total
01,3037,81009.54525183263,178138.77986971455,60078.67487845284,319227
02,14924,102095.36858294191,224506.19038998522,75716.44102707287,402318
03,5817,490819.22496935184,1079304.1437380654,364003.6312925829,1934127
04,8775,178352.85732205532,392195.26897553436,132270.87370241035,702819
05,8050,43826.72049410765,96374.30367299501,32502.97583289734,172704
06,21766,176094.83110982765,387229.90306575625,130596.26582441608,693921
07,4992,282472.5319394927,621152.8780958297,209488.58996467764,1113114
08,7728,1403107.4929199677,3085412.4169912282,1040579.0900888043,5529099
09,14292,95329.66428487469,209628.50770616945,70698.82800895588,375657
10,19868,105426.83274501486,231832.03031621204,78187.1369387731,415446
11,7440,315565.12670298456,693922.9996360193,234030.87366099606,1243519
12,6636,153363.06958895564,337243.0990535975,113737.8313574469,604344
13,19813,134541.36289815826,295854.44720348186,99779.1898983599,530175
14,13771,204500.58769466897,449693.73746415105,151662.67484118,805857
15,7950,291103.17607051803,640131.5356134237,215889.28831605826,1147124
16,17140,55610.176230068566,122285.94681242346,41241.87695750797,219138
17,5910,192054.03660103766,422323.95753867517,142432.00586028717,756810
18,12647,234621.0535530574,515928.19194035773,174000.75450658487,924550
19,12214,65081.55320455428,143113.36329372786,48266.083501717876,256461
20,1980,180075.43339854458,395983.1880354999,133548.37856595553,709607
21,10128,132458.69026118898,291274.6811862253,98234.62855258568,521968
22,15636,57950.67698927018,127432.67301897358,42977.64999175624,228361
23,13496,170176.71138681553,374216.046201075,126207.24241210948,670600
24,15581,126325.37541253412,277787.61345488956,93686.01113257633,497799
25,12172,112243.54437828751,246821.87736818532,83242.57825352717,442308
26,5045,81955.59174758277,180219.12198161075,60780.286270806464,322955
27,9856,89207.00768536722,196164.87730549343,66158.11500913935,351530
28,8028,1646872.0554023099,3621447.048479261,1221360.8961184293,6489680
29,7306,412582.6008707011,907262.9760616688,305981.42306763004,1625827
30,11314,373056.23013973236,820345.0772782108,276667.6925820569,1470069
31,10391,162931.89341278898,358284.7997009341,120834.30688627691,642051
32,7273,84569.90800273782,185967.96437344415,62719.12762381803,333257
33,10604,274446.6165636638,603504.0100773367,203536.37335899947,1081487
34,8052,43563.817015138455,95796.1828500539,32308.00013480765,171668
35,4066,278378.24165987014,612149.5949323818,206452.16340774807,1096980
36,4495,244508.10224429172,537669.6643173933,181333.23343831496,963511
37,12350,89576.49365581042,196977.37143503228,66432.13490915729,352986
38,3381,261327.32693456215,574654.8881618831,193806.78490355474,1029789
39,5321,150515.03315606833,330980.3094822962,111625.65736163553,593121
40,6921,41660.81200665392,91611.5032639193,30896.684729426783,164169
41,14036,489508.5140920585,1076421.9100985953,363031.57580934616,1928962
42,10306,24164.53472768675,53137.450890851425,17921.014381461828,95223
43,6303,205907.47658212573,452787.4651112413,152706.05830663294,811401
44,14810,36696.60558233408,80695.28749328788,27215.106924378044,144607
45,15370,179475.27246441125,394663.4431066816,133103.28442890715,707242
46,10807,654395.9424555586,1439006.9019439158,485316.15560052573,2578719
47,8110,135733.8179634828,298476.6380789648,100663.5439575524,534874
48,2217,293297.76032353495,644957.3936026079,217516.84607385713,1155772
49,10561,49074.38559218095,107913.84083283997,36394.77357497907,193383
50,17274,246998.57979506743,543146.1872482274,183180.23295670512,973325
51,19,20904.379327766652,45968.41786737213,15503.202804861214,82376
52,13,19914.684764079535,43792.094306107305,14769.220929813158,78476
