id,area,Y,M,O,Total
01,2964557790.19884,19016,179496,125381,323893
02,14939410037.8957,47288,187949,159556,394793
03,5826426638.39077,234875,910283,697024,1842182
04,8791290794.96463,93737,358727,256735,709199
05,8058192780.95503,29903,87124,45863,162890
06,21799986589.5693,105053,356012,230157,691222
07,4989224200.16517,131916,587718,404453,1124087
08,7736837276.23671,719222,2878624,1934237,5532083
09,14052113338.0773,55185,186014,116513,357712
10,19894204220.7263,71973,210490,120876,403339
11,7451054058.45679,205085,650193,391093,1246371
12,6640289388.21454,87924,307133,188582,583639
13,19841339785.7418,81619,276872,158659,517150
14,13793708120.1861,122059,411774,267103,800936
15,7953979333.81569,177035,595974,350507,1123516
16,17160458270.5156,35973,108496,57797,202266
17,5913748133.41531,131326,404710,223976,760012
18,12669801277.085,174097,488481,242927,905505
19,12179296334.6968,44547,142422,71695,258664
20,1907903689.77081,136353,406490,166086,708929
21,10145519635.404,93294,275832,157970,527096
22,15640786540.9212,40862,119765,63606,224233
23,13510907099.9012,121624,346722,181359,649705
24,15581861321.3174,88233,258440,124707,471380
25,12181976895.7189,81640,220169,124503,426312
26,5030883080.23627,65858,178229,71137,315224
27,9862805985.52094,73700,183087,81513,338300
28,8038907150.37785,1303996,3472625,1578053,6354674
29,7322700068.34235,314711,896560,421935,1633206
30,11331297311.4329,301514,832416,336567,1470497
31,9613369954.15619,132956,349930,155419,638305
32,7279791605.50856,74827,174791,65080,314698
33,10606060508.3705,208855,567850,256261,1032966
34,8055861774.57438,27451,84810,52667,164928
35,4065629246.70407,252764,582877,265769,1101410
36,4492000808.34781,188484,518709,246857,954050
37,12361214609.0213,79699,180098,67290,327087
38,3387463883.71043,246207,556075,201924,1004206
39,5258891554.98457,141085,328815,121793,591693
40,6801536903.26267,38512,87913,26966,153391
41,14060690239.4782,537409,1118374,275660,1931443
42,10311036407.0309,21263,48106,15893,85262
43,6309767110.39777,203788,451749,146147,801684
44,14812104060.5624,33933,75101,23156,132190
45,15387507740.3464,189209,429210,102917,721336
46,10822388390.0596,686717,1445519,395087,2527323
47,8117138192.3714,148887,294791,73782,517460
48,2208731721.88803,303346,674392,146121,1123859
49,10569562554.3734,46830,107303,27551,181684
50,17288145814.1773,141135,444430,361959,947524
51,19332743.1039314,9921,47409,26461,83791
52,13268839.0877522,3520,50220,30835,84575
